Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
100,6,10,1,2,1,1.49
45,7,14.5,1,1,1,2
45,4,,3,4,3,6.65
50,,,,,,4.15
129.4,5,10,,3,1,2.25
62,5,6,2,3,2,4.2
30,,20,3,4,3,7.9
81,6,10,3,4,5,9.9
84,5,8,4,4,6,9.5
66,5.4,3,1,2,2,3.75
43,6,6,3,3,3,6.25
44,4,5,4,4,4,5.8
84,4,6,2,3,2,4.9
64,4,13,3,3,4,3.5
65,5,13,5,5,4,7
44,4.7,,5,,,5.5
115,,6,2,3,3,7
48,4,4,3,4,3,4.85
40,4,4,2,2,2,3.68
74,,7,4,4,4,6.5
72,4.4,,3,4,3,6
70,,7,3,4,3,7.9
56,4,,3,4,3,5.9
54.4,,6,3,3,4,4.7
50,,,3,3,3,5.3
70,9,9,,4,5,9.4
80,5,7.5,4,5,6,7.6
200,10,,3,5,6,10
52.3,,6,3,3,3,4.5
80,4,3,2,2,2,4.68
50,,,6,4,4,5.2
72,4,8,1,3,2,6.5
23,,,2,2,2,2.98
35,4,6,5,3,4,5.7
61.4,6.2,3,3,8,8,9.6
30,4,8,1,2,2,2.35
36,,,2,2,2,2.7
35,4,4,3,4,3,4.5
40,4,4.5,6,4,4,8.7
320,10,32,1,4,4,5.8
77,4,16,4,4,4,7.75
53,,,2,,,6.5
100,5,15,3,4,4,5.2
190,5,5,1,5,5,9.5
92,5,16,2,3,3,5.6
157,6,20,2,2,1,4.2
31,,,6,4,5,5.88
42,,,4,4,3,8.1
62,6,6,2,2,2,5.15
60,6,6,2,2,2,5.1
43,,,4,4,3,8.65
40,,4,2,2,2,1.85
56,,,4,5,4,8.8
75,5,7,5,5,5,8.8
75,5,20,4,5,6,9.3
96,55,20,4,5,6,8.3
52,,,3,5,6,5
55,5.5,7,3,3,3,5.8
35,4,3,5,3,,5.7
16,3,2.5,2,1,2,2.94
114,,4,,5,5,5.7
80.3,7.3,7,4,4,5,6.5
62.5,5,6,3,4,3,5.28
32,3.6,2.5,4,2,3,2.85
52,,,5,4,,7.95
35.5,,,1,2,1,3.32
56.7,,,3,3,3,5.8
37,3.7,3,,,,5.9
24,4,3,2,2,1,1.18
90,5,5,2,3,2,4.3
30,,,5,3,4,4.75
141.6,5.5,22,4,5,6,7.5
105,8,7,1,2,2,5.45
80,,,7,,,5.2
162,5.06,,,2,2,7.5
38,3.5,,6,3,5,8.35
23,3,10,1,1,1,4
30,3.8,,5,3,4,5.6
42,,3,6,3,,6.4
41,3.3,10,4,5,4,8.95
35,,,5,3,4,4.95
50,6.1,,6,4,4,9.8
51,4.1,,2,2,3,4.99
92,4,6,3,3,3,8.5
75,,6,4,5,4,8.4
64,5,13,5,,,7.4
63,2.2,2.2,5,5,5,7.2
52,4,13,5,,,6.6
42,,,3,3,,6.79
40,5.5,,5,3,4,7.9
40,4.5,,6,4,5,8.5
63,4.5,13,5,,,7.14
53.5,3,10,,,,8.9
92,,16,2,1,2,5.6
87.5,7,13,5,,,9.54
48,,,5,3,,5.5
48,4,4,2,2,2,1
50,4.3,2,2,2,2,4.1
50.1,4.3,2,2,2,2,4.1
50.2,4.3,2,2,2,2,4.1
50.3,4.3,2,2,2,2,4.1
70,5,,2,,,9.6
35,,,,,,7.4
55,3.83,7.5,3,,,6.8
102,,,3,3,3,6.2
280.5,10,11,1,2,2,5
50,4.2,,5,4,,7.86
80,5,15,3,4,3,2
100,,20,3,4,5,7
22,4,,4,3,,4.8
31,,,,4,,3.78
40,,,5,,,5.1
56,4,6,2,2,3,5.6
33,3.8,2.7,4,2,4,3.85
33,3.4,,5,3,4,3.4
33,3.8,,5,4,4,3.65
33,3.5,3,4,4,3,6.15
35,,,6,4,5,5.85
68,4,6,4,4,4,7.75
40,,,5,,,5.4
53.8,4.5,8,4,3,3,4.8
48,,,5,4,3,5.3
100,5,15,,,,5.7
123,,,5,,,5.45
115,,,,,1,5.5
35,,,5,5,,5.18
30.3,,3,4,3,3,4.68
188,4,6,4,4,4,5.85
30,,4,3,3,3,1.88
61.5,,3.5,4,5,3,4.1
136.6,8,,,,,8
44,,,,9,,7
75,,,,,,5.7
50,4,,5,6,5,8.5
120,6,15,,,,7.1
42,,4,4,4,3,4
75,5,12,3,3,4,8.3
30,,,4,4,,3.8
28,,7,3,2,3,2.15
28,4,7,3,2,2,2.15
68,,,2,3,3,1.6
72,4,5,2,3,2,3
37,3,2,4,3,3,5.18
120,7,5,2,3,2,7.5
85,,,3,4,3,2.7
37,,,6,,,6.2
98,7,,5,,,2.6
120,6,15,,,,7.1
92,5,13,3,3,3,4.2
32,,,5,3,3,2.55
51,,,,,,4.2
80,10,10,2,3,2,2.88
29,,,1,,,6.2
100,5,20,3,5,6,6.6
100,5,35,4,,,7.4
35,5.2,,5,,,7.5
90,4.85,8,2,4,2,4.25
85,,8,4,4,5,8.5
100,5,15.3,3,4,5,5.7
37,3.5,3,4,4,3,7.4
72,4.2,,2,,,6.7
113,,,2,2,,5
200,5,17,3,4,3,3.6
80,,10,1,4,4,6
92,4.4,,2,1,2,5.6
39,4.3,2,5,4,4,6.6
80,5,13,5,,,8.9
63.9,,,,4,2,3.8
110,,,3,4,5,9.6
47.8,,,,,,2.2
50,4,6,1,,,5.35
40,4,35,4,4,3,6.3
66,,,1,,,6.7
157.5,4.2,,1,2,1,9.5
182,7,40,1,3,1,2.1
62.5,7,10,,1,1,2.7
70,5,6,3,3,3,6
70,4.3,,,,,9.7
275,10,4,1,3,2,2.2
52,3.8,5,2,2,2,9
40,,5,1,2,2,2.3
40,4,5,4,4,4,6
168,7,16,2,4,3,5.11
96.7,5,13,3,4,4,5.2
61.2,,5,3,5,3,5.8
107,,,1,,,4
84,9,,1,1,1,3.05
43,,,4,,,6.5
61,4,,2,2,3,5.9
61.7,4.35,4.5,2,,,6
38,7,3,3,2,2,3.5
65,,,,,,9.5
25.6,3.2,3,3,3,3,3.4
85,5,4,2,6,5,6.8
75,5,5,2,2,2,3.65
37,,,3,3,3,4.5
42,,,5,3,4,4.8
85.7,5.4,7,1,3,3,8.5
42,,25,,,,6.95
45,,5,5,4,4,6.8
40,,,3,2,2,7.3
42,4.4,,5,4,4,4.96
70,,5,,3,,1.87
55,4.4,,6,4,4,6.1
40,3.5,,5,4,4,6.5
50,3.7,,4,3,3,5.5
104,5,6,3,5,5,9.6
40,3.97,2.2,1,1,1,3
32,3.4,3,5,3,4,4.5
45,8.7,,4,4,3,4.95
96.7,5,13,3,4,4,5.2
51,,3,4,3,3,5.7
58.2,6,6,5,3,4,8.6
100,5,13,3,4,4,3.07
40,,,,6,3,6.5
55,4.4,,6,4,3,6
30,3,8,2,4,3,2.5
217,15,12,3,4,3,5
60,4,3.5,,,,3.6
48,,,3,3,3,9.5
50,3.5,,5,,,5.7
62,,,4,5,4,7.6
52,,,2,2,,3.9
96.7,5,13,3,5,4,5.2
88,4.1,7,4,4,3,8.4
39,,,4,3,,5.5
35,4,4,1,2,2,2
251.9,7,5,2,4,2,5.9
51,4.3,8,3,3,3,4.5
52,42,,5,5,4,9.39
30,,,5,3,3,4.2
40,3.8,3,5,6,4,3.4
48,,,3,4,,4.8
50,4.5,,5,6,6,6.5
38,,,,4,,3.5
88,,12,3,,,9
38,4,3,5,3,4,4.9
75,5,,2,2,2,3.6
50,3.9,3,4,4,4,8.8
67,5,,,2,2,2.45
40,4,3,2,2,2,3.1
113,,,,,,9.34
45,,,5,,,8.2
50.8,4,6,2,2,2,4.35
35,,,5,3,4,4.95
48.7,5.7,,5,4,3,9.3
43,4,,4,4,4,9.5
60,,,3,,,9
45,4.5,5,4,4,3,6.2
71,4.3,5,4,4,5,8.4
115,5,6,,,,9.5
54,5,6,1,2,2,4.75
35,3.5,5,5,5,6,9.5
63,,,4,4,5,8.5
119,,,2,4,2,3.5
67.5,,,2,4,3,4.85
58,33,,5,3,,5.6
44,,,2,3,3,6.35
70,5,3,3,5,,8
108,,,2,3,3,2.8
80,,8,2,3,2,9.9
106,5,5,3,4,4,6.7
150,,,,,,1.2
71.59,4.9,38,2,2,3,4.45
48,4.2,5,4,4,4,6.99
100,5,12,2,2,2,1.3
35,5,5,1,3,2,1.9
73,5,8,2,3,1,3.25
62.4,,,5,6,7,7.6
108,,,2,4,2,3.2
62.3,4.7,5,4,4,5,8
108,,,2,4,2,3.2
24,3,4,5,3,3,4.99
32,3,3,5,3,4,3.2
100,5,3,1,2,2,10
100,5,12,2,,,8.2
20.4,3,3.5,4,2,3,4.85
63,,,,4,,5
28,5,,5,3,4,4.8
108.8,,,3,4,4,4.2
53,11,,5,4,5,8.9
60,,,4,6,6,7.8
55,4.1,6,4,4,5,9.8
55,4,,5,4,4,7.5
251,10,8,3,4,2,9.9
26,4,20,5,3,3,9
100,,,3,3,3,5.9
171,4,7,4,6,5,6.1
68,4,6,3,4,4,6.5
100,5,10.5,3,3,3,7.5
120,,,,,,6.85
100,5,7.5,3,3,3,6.2
48,3.5,6,1,2,2,3.65
156,,,2,4,3,9.8
55,3.8,,3,3,3,9.5
32,5,3,5,4,4,5.2
35,4,3,5,3,3,5.2
46,,,5,,,8.1
61,,,4,5,6,8.7
145,5,3,1,2,1,1.35
150.4,,,,,,4.2
39,,,5,3,,5.8
55,,,2,3,2,5.7
160,8,,2,4,2,6.3
150,6,5,2,3,3,6.2
60,5.8,4,3,3,4,2.2
57,,,,,,5.15
58,4,10,5,4,5,7.49
43,4.3,3,5,3,4,4.1
22,3.6,4,4,,,4.2
106,5,5,3,3,3,6.7
100,5,12,2,3,2,6.9
50,4.5,2.5,5,6,4,5.5
172,6.5,3,4,7,7,8.6
62,,,1,3,,2.75
50,,,1,,,4.3
60,,,3,,,5.5
52,6,6,4,4,4,6.7
55,,,4,5,5,7.8
54,4.5,,2,,,5.3
60,,,4,,,7.45
60,4.5,,2,,,4.3
96.3,5.7,,2,2,2,5.3
32,8,,3,,,3.75
105,7.5,,,,,9
52,4,5,3,4,4,5.05
18,3,,2,,,2.95
40.8,4,8,2,2,2,3.5
86,4.9,3,3,3,2,2.68
123,5,,,,,9.8
83,4.2,5,5,7,7,8.5
48,4.5,3,4,3,3,4.55
109,,5.5,3,4,4,3.6
50,4.5,,6,3,5,9.45
46,,,3,,,2.8
72,4,7,3,4,5,5.95
45,,,3,3,2,6.25
48,,,5,3,4,7.3
29,,,,3,3,3.15
100.1,5,35,3,3,3,7.9
75,5,5,3,4,4,4
43,,,4,4,5,7
90,4.5,,3,5,5,5.8
20,,,3,2,3,5.7
85.5,,7.5,3,3,4,6.35
100,5,10.5,4,4,5,9
30,,,5,3,3,5.4
50,4.7,6,2,2,2,5.5
60,5,6,2,2,2,2.95
30,,,5,3,,5.45
100,6,7.5,3,3,4,4
39,,,3,3,3,7.4
100,,,3,4,4,3.2
85.3,5,10,3,3,2,4.89
38,,,4,4,3,5.8
150,,,,3,2,3.2
240,,,3,4,5,7.2
34,,,5,3,,5
52,4.7,5,4,4,3,6.2
62,,,5,4,3,6.88
44,4.55,,4,4,3,8.5
50,,7,2,3,2,3.65
62,,10,5,4,5,6.5
42,,,4,4,4,5.68
72,4,8,3,4,3,5.99
40,,,4,4,3,4.49
35,3.6,,5,,,4
35,4.5,,5,3,,7.45
45,3,,3,4,4,7.2
53,3.5,2,5,7,4,7
60,,,4,4,4,6.7
35,4,,3,,,4.2
34.5,,3,2,3,2,1.9
34,,,5,3,4,5.7
60,,,4,4,5,8.5
64,4.1,4.5,4,4,4,8.49
79,4.5,5,1,2,1,4.75
35,,,6,3,,6.6
50,4,,5,4,3,6.7
40,,,4,3,4,5.5
50,,,2,2,2,3
48,8,6,2,4,4,1.9
41,,3,6,3,,8.7
40,5,,3,3,,5.35
28,,3,6,,,7.5
40,3.6,4,5,5,4,6.95
35,,,5,,,6
50,,,,,,3.6
50,4.5,12,3,4,6,6.29
57,,,4,4,5,5.85
56,4,10,4,4,5,5.85
420,,,,,,5.2
36,3.6,,,,,8.1
30,,,4,3,3,2.25
60,5,5,2,2,3,5.4
100,,12,3,4,4,10
31.5,,,4,3,3,3.9
42.7,,,,2,2,3.08
18,,,5,4,4,3.3
70,3.3,2,3,4,3,7.8
120,6.45,,,,,8.5
63.5,,,4,4,4,5.25
477.6,6,,1,2,1,2.2
34.5,7.5,4,2,3,2,2.55
48,,,3,,,6
53,5,,4,5,6,7.6
119,4.14,2.5,3,4,3,4.8
40,4,5,4,2,2,5
33,,,,3,,3.98
52,,,4,6,3,7.5
50,,5,5,4,4,8
95,5,,4,,,9.5
35,5,4,3,3,3,4.3
50,,,4,4,3,6.35
68.5,5.5,12,5,4,5,7.1
44.4,3.5,,3,3,3,4.65
60,4,7,4,4,4,7.8
50,4,4,7,5,6,8.45
64,13,8,5,4,5,6.4
54.2,3.6,12,1,2,2,7.58
80,4,,,,,9.3
85,5,12,2,3,4,3.9
35,4,,6,5,5,7.55
30,,3,3,2,2,5.7
32,9,4,3,3,3,4.68
63,4.5,,5,5,5,8.9
56,,,4,6,7,7.5
30,,,1,4,,6.15
64,4,6,2,2,3,4.8
40,,,4,3,3,3.5
169.7,9.5,12,2,3,3,7
38,3.5,2.5,6,4,4,8.35
48,3.4,5,5,9,9,8.9
40,,,4,4,4,7.5
66,,,2,,,6.25
39,,,4,3,3,3.8
51,,,5,6,7,8.2
52,8,8,4,6,6,7.2
20,3.3,,4,3,2,3.35
86,,10,3,4,5,8.9
63,4,5,4,4,5,8.5
43,,,4,4,3,4.2
70,4,6,,2,,3.95
40,,8,3,3,3,8.2
120,6,14,3,3,2,6.1
85,,,3,6,9,6.8
40,,,2,3,3,1.6
79.8,5.7,,3,4,5,6.8
175,12.5,,,3,,8.5
175,12.5,,2,,,8.5
62,3.5,3.5,1,2,2,6.5
105,7.45,,4,,,9.6
26,3.2,,2,2,,3.4
79.8,5.7,,3,,,5.3
77,3.5,3.5,3,2,3,5
40,3.7,3,5,3,4,7.86
48,,12,,,,8
79.8,5.7,,3,3,3,5.5
28,,,,3,3,3.05
210,10,,,3,,9.9
40,,,,2,,1.85
138,8,,,2,3,3.8
96,5,6,2,3,3,3.9
83,4,7,2,3,2,7.2
40,,,6,,,9.25
87.5,5,,3,4,4,6.2
62,6.7,6,2,2,2,3.5
60,4,10,4,,,8.5
95.5,5,15,3,3,5,9.5
40,3.5,5,5,5,5,5.65
75,5,5,2,3,2,3.65
40,4.8,,1,,,4.8
93.5,5.11,,2,3,2,3.35
44,5,5,2,2,2,2.35
10,,2.5,4,2,1,1.39
50,,,,,,3.05
60,,,,,,3.8
45,3.5,2,5,3,4,5.95
72,,,3,,,4.55
57,4,4,4,5,5,9.9
95,,,3,,,4.45
60,,5,4,4,5,7.9
51.1,,,,,,3.6
72,,,3,4,4,4.8
44,3.5,4,3,3,3,2.7
72,,,3,4,4,4.8
42,,,,,,4.5
65,,,5,5,6,8.25
57,,,4,5,5,8.9
43,8.8,,3,,,7.4
34,,,5,3,4,5.38
275,5.5,5,1,3,2,2.95
71,4,12,3,3,3,3.95
72,4,8,2,3,2,5.6
90,5,10,4,5,5,9.85
75,,,4,5,5,4.75
51,,5.1,2,3,3,5.45
72,4,4,2,3,2,3.8
20.4,3.4,,3,2,2,2.7
126,4,7,1,7,7,4.99
96,4,10,3,4,3,8.5
70,5,4,2,3,2,4
100,5,6,2,3,3,3.85
45,,,5,9,5,7.45
52,,3,5,3,4,7.2
70,4,10,2,3,2,5.9
36,,,2,1,1,2.5
55,7,,5,5,5,9.3
60,6,,2,3,2,4.5
60,4,3,2,2,2,3.1
50,,,3,2,3,5.3
56,4,3,2,3,2,3.45
52.7,3.6,5,2,3,2,3.45
55,4.4,5,4,6,4,9.5
160,,,3,4,4,9.5
45,4,5,5,4,4,8.7
71,4,8,2,3,2,5.6
40,4,5,4,6,3,5.55
37,,,3,2,,7.2
64,4,10,3,4,3,4.7
70,3.5,,3,4,3,5
37,7.5,,3,2,,5.5
36,3.5,2.5,2,3,2,1.98
72,4,6,3,,,8.7
75,5,13,5,,,9.8
91,6.5,,5,,,9.7
78,6,13,5,,,9.68
238.9,7,7,1,1,1,1.9
33,,2,4,4,3,4.1
100.8,7,8,,1,1,8.5
51,,,2,4,3,4.19
115,13.5,6.5,3,4,3,3.95
44,,,,,,8.2
162,9,14,3,4,4,8.35
31.28,,,,3,2,1.6
61,,12,3,3,3,3
84,,8,2,2,,8.4
80,4.7,5,2,3,3,2.75
70,7,7,1,2,2,2.3
80,3,3,,,,1.7
44,4,11,3,3,2,4.59
168,5.27,7,1,1,1,9.5
60,,6,2,2,2,2.35
89,7,7,3,4,3,2.7
89,,5,2,3,2,2.7
50,,,4,4,5,5.85
120,5,12,1,5,5,8.2
48.9,4.1,10,4,4,3,3.25
30,,,6,,,7.5
57,6,6,3,4,5,7.5
47,4,,5,,,7.6
100,,,2,4,3,3.6
68,,,1,2,1,6.7
35,3.8,,5,,,7.3
105,5,6,2,3,3,3.95
40,,,5,,,9
40,,7,3,,,6.7
170,,,,,,5.86
153,8.3,5,1,2,2,3.9
23,3,,5,3,4,3.7
76,6.2,30,1,2,1,6.9
80,5,67,5,5,6,4.79
32,4.2,,4,4,3,3.5
39,4.2,,6,,,9
53,4.57,3,2,2,2,4.35
32,5,3,4,3,3,3.9
30.4,4,,6,8,,6
30,4,2,2,2,2,4.85
40,,,2,2,2,3.68
63,4.5,,2,,,1.6
139,5,,2,4,2,8.1
16.1,,,2,,,2.95
50,,5,2,3,3,2
41,,,5,4,4,6.95
95,5,6,2,3,2,7.7
80,4,12,,,,8.5
51,5,5,3,3,3,5.45
70,5,6,2,2,2,1.2
56,4,8,2,3,2,4.95
24.8,3.5,,3,2,2,2.63
31,,6,2,2,2,1.63
209,,,,,,10
40,,8,2,3,3,4.9
32,,8,2,4,3,2.5
90,4.8,5,1,4,4,5.9
33,3,5,5,3,4,8.2
54,4.5,5,5,3,4,8.7
30,,,3,3,4,7.15
98,8,6,,6,2,4
56,4,,2,2,3,4.3
52,4,5,3,3,4,2.09
24,42,3,4,3,3,4.8
52,,,2,3,2,2.49
72.5,5.18,10,3,4,2,7.3
38,4,5,5,3,4,5.5
39,,,3,3,4,8.6
30,,,5,3,,6.4
125,,10.5,2,6,5,4.65
52,5,,4,4,4,6.4
33,,,3,3,3,2.13
66,4,3.5,2,3,2,4
113.5,,,3,3,4,7.5
100,,,3,3,3,6.5
130,8.8,,3,2,,3.99
35,5.3,,4,2,3,8.5
64,4,13,3,3,4,7.5
60,,13,2,3,3,2.86
60,,15,4,4,4,5.8
106,4,12,,3,2,8.3
95,,,1,3,2,5.9
45,6,2,4,3,3,5.3
180,9,15,3,4,4,9.7
120,6,15,3,4,4,6.7
60,,,,4,,10
95,,,,2,2,6.8
50,,10,4,4,5,8.9
80,6,13,4,5,,7.52
91,6.5,13,,,,9.1
48,,,2,3,,6.5
110,5.3,12,,,,8.6
45.1,4,4,3,6,6,5.48
75,,6,4,5,4,8.4
106,6.02,,4,8,7,8.15
38,,,3,3,3,1.95
60,,,3,4,5,3.7
45,7.1,,3,,,6.2
64,,,,,,2
105,,,3,4,4,4.3
37,5,5,4,4,3,4.65
137.5,,,1,1,1,3.5
40,4,16,1,,,2.9
36,4,4,3,3,3,4.95
100,5,25,3,3,3,3
127,,,,,,6.4
47,5,5,2,3,3,4.98
200,,,,,,9.9
177,5,8,2,5,5,2.95
76,4,9,2,4,4,8
48,4,6,4,4,5,7
82.8,7,14,3,3,3,8.2
45,,4,4,4,4,4.1
300,10,8,1,8,8,4.1
30,3.9,3,4,3,3,4.75
52,4,,5,,,6.4
43,,3.5,6,3,3,6.95
109,,5.5,3,4,4,3.6
56,6,30,1,1,1,7
33.9,4,5,4,5,5,7.5
43,,,3,,,3.15
55,45,8,5,3,3,6.6
75,5,6,4,5,5,9.5
100,5,5.5,,,,3.5
24,,,5,4,4,5.95
33,3,,5,3,4,4.48
68,4.3,,4,3,3,9.9
360,,,1,2,,7.9
100,5,5,2,4,2,1.98
65,4.2,7,4,4,4,7.55
35,,,5,4,4,4.45
40,,,4,4,4,7.1
52,4,2.5,1,2,2,2.45
64,4,,4,4,4,7.2
85,4.2,5,4,4,4,7.8
300,9.8,10,,,,8.9
290,11.6,8,2,4,2,3
126,7,,3,3,3,7
30,4,8,1,1,1,4.25
50,4.2,10,4,4,3,3.2
60,4.6,3.5,1,1,1,3.8
45.7,3.2,,4,4,3,5.8
100,5,17,2,2,2,1.4
55.4,7,,5,4,,9.2
42,3.8,4,3,4,3,4.7
35,,,5,3,4,3.8
35,3.5,5,5,4,4,4.65
40,4,5,5,4,4,9.5
28,,,,2,,2.48
62,5,14,3,4,3,7.8
150,5,6,,8,8,1.2
109,5,18,,2,1,9
72,4,6,4,4,5,6.8
120,5,12,1,2,1,1.48
55,4,2,4,4,3,5.8
50,,,1,1,1,9.8
48,4,3.5,5,5,4,7.8
64,,6,2,2,2,4.85
50,,,4,4,3,7.9
50,6,4,4,4,4,3.9
40,4,3.5,2,2,2,1.75
57,,,5,7,7,5.4
72,4,20,5,8,8,9.5
45,,,2,2,2,4.9
72,4.5,6,3,4,3,6.8
110,6.5,5.5,2,3,3,6.3
42,,,5,7,7,6.5
30,,,5,,,5.6
70,,,2,3,3,6.5
127,,,,,,8
65,,,,,,1.3
32,3.3,2,5,3,4,5.3
210,7,10,,,,9.5
63.6,3.81,,4,4,5,5.8
67,,,,,,9.6
125,5,,3,3,5,8.9
52,4,6,3,4,5,4.45
40,3.1,2,5,7,5,7.9
21,4,3,2,1,1,2.36
43,,,5,3,5,7.55
28,,,,,,4.64
44,4.2,3,5,4,4,8.1
67,5,,5,,,7.5
34,3.8,2.8,5,3,4,4.8
42,,5,4,4,5,5.6
33,4.9,5,5,3,3,7.45
30,4.3,2.5,5,3,4,4.95
27,3.2,3.5,2,2,2,1.4
60.75,,6,4,3,3,7.28
40,,,3,3,2,2.45
33,5,2,5,3,4,4.5
90,,,4,,,7.5
36,,,5,3,,6.5
54,4,6,4,4,5,5.6
41,,,,,,5.94
68.5,4.5,13,3,4,4,4.5
44,4,6,3,3,2,3.6
41,,,6,5,5,7.9
31,,,5,3,4,4.5
47.5,4,7,1,1,1,4.5
51,5.6,,3,3,3,5.2
60,,4,4,5,6,5.85
55,,,3,3,3,2.95
54,,,4,4,,10
30,,,5,3,3,2.5
80,5,,4,4,5,7.5
32,,,4,3,3,2.08
117.5,,,1,2,1,4.5
32,,,4,4,3,2.5
47,4.5,4,3,3,3,2.8
32,3.5,2,4,3,3,3.68
85.3,5,9,3,3,2,4.89
50,,,5,4,,8.8
40,,,2,2,2,3.45
33,4,2.5,5,3,4,4.98
40,,,6,,,6.5
35,,,3,4,3,5.1
64,4,30,3,4,3,4.7
40.9,,,2,3,2,5.3
40,4,,2,2,1,1.5
75,5.5,5.5,4,5,5,6.5
88,5,8,4,4,5,6.1
40,,5,,,,5.2
58.6,,6,3,,,7.8
30,3,2,5,3,3,4.2
160,,,2,4,4,9.8
68,5.9,5,3,3,3,6.95
55,,4,4,4,3,6.8
44,3.5,,2,2,2,6.4
100,5,5.5,2,2,2,4.4
36,37,2,4,3,3,5.35
242,,,2,3,3,6.8
74,4.5,5.5,2,3,2,4.45
62,,5,4,4,4,8.5
52,5,,4,6,4,7.15
65,4,8,3,4,4,7.2
29,,,4,3,2,3.5
40,,,3,3,,2.8
60,7,,,,,6.5
56,,,2,2,2,6
36,3.3,7.5,2,2,2,3.35
42,16,6,1,1,1,7.8
44,4.25,,3,4,3,7.8
87,5,5,3,4,3,9.8
93,5,2,1,2,2,7.9
60,,,4,4,3,5.9
60,6,,2,2,1,8.55
42,4,3,5,3,4,6.6
73,,,,,,7.3
60,,,3,4,4,6.1
90,,,3,3,3,8.2
60,,20,,,,5.5
50,4,12,5,5,5,5.25
100,5,19,3,4,3,4.8
57,4,4,3,1,,3.5
60,4,4,2,3,2,3.98
109,4,10,1,2,1,6.9
54,,,4,4,4,7.2
52,4.2,2,4,4,3,7.15
124.2,,,1,3,1,1.8
67,,,,2,2,5
27,35,5,4,3,3,5.4
32,4,,2,2,2,1.38
68,,,,,,5.3
82.5,,20,,,,7.5
75,,,,,,9.25
170,8.5,5,2,4,6,9.8
118.67,9.5,9,2,4,4,9
85,4,6,2,3,3,5.9
72,3.9,,1,,,8.5
35,7,,4,3,,4
32,3.1,3,4,5,3,4.8
62,4,6,3,,,6
148.7,,22,2,,,6.6
65.1,4,8,2,2,2,3.3
40,5,,,,,1.3
45,3.3,2,5,7,7,6.85
40,4.5,5,5,4,4,9
48,4,5,2,3,4,4.5
116.5,6.3,6,1,2,2,7.1
380,10,,,2,,2.8
33.2,,,2,2,2,4.95
88,,,,,,2.7
38,4,2,2,2,2,2.2
21,,,4,3,4,4.68
70,6.2,3,3,3,4,2.6
70,5,4,3,5,5,8.1
54.4,4.5,12,3,2,2,2.85
62.7,8,7,5,5,7,9.5
48,,,2,4,3,2
85,5,,4,4,6,7.5
33,,,4,3,3,2.95
100,,,,,,3.8
48,6,5,3,6,3,8.9
47.4,5.15,12,2,2,2,6.4
125,7,,2,,,4.2
140,,4,2,3,3,5.2
100,,,2,2,2,2.5
40,,,6,,,8
60,5,8,3,4,5,3.7
94,5,10,2,3,2,2.5
65,,,2,,,7.8
60.2,5,12,2,2,2,2.25
79,5,10,4,4,2,6.7
40,5,4,2,2,2,4.79
26,4.26,2.5,2,1,2,3.85
64,,,1,4,2,5.4
44,,,4,3,4,7.39
112.5,7.5,3,2,3,3,9.5
64,,,1,1,,9.5
80,4,8,3,4,4,7.9
45,3.8,3,3,3,3,5.95
64,,6,3,3,4,7.8
80,5,7,4,4,5,7.2
47,3.58,4,2,3,2,6.8
141,4.7,7,4,4,5,6.3
24,3.4,3,2,3,2,3.8
36,3,3,2,3,2,3.9
39,3.5,,5,3,4,9.8
30,3.7,2.5,2,2,1,3
55,4,4,4,7,4,9.3
65,,,2,3,2,4.55
52,,,4,4,5,5.9
50.1,,,3,4,3,4.6
45.2,,,5,5,4,7.2
80,4.5,8,4,5,6,7.9
48.4,,3,2,2,2,5.88
60,,,3,,,6.1
115,6,,2,,,8.2
183,10,10,,,,9.2
45,8,,4,3,3,9.25
25,2.5,3,4,3,4,4.6
57,5.4,5,5,6,6,9.5
19,4,5,2,2,2,3.4
30,4,4,5,3,4,6.35
35,3.7,2,5,4,6,6
38,4,5,4,5,6,7.8
60,4.3,2.5,4,4,6,7.39
73,6,2.5,4,4,4,8.9
136,8.5,7,3,3,3,8.9
78,5,24,4,5,5,4.5
27,5.4,5,3,3,3,4.85
51,,,,,,1.55
66,3.8,6,3,4,3,9
10.35,,,,,,1.22
25,3.5,3,4,3,3,3.85
35,3,5,3,3,3,2.4
25,3.5,4,4,3,4,3.9
56,4,,6,,,5.5
45,4.5,6,6,4,5,10
128,,,,3,3,3.29
42,3.5,6,2,2,2,2.65
40,4,4,5,3,4,6.6
68,,,3,3,3,8.6
46,9,5,3,2,2,7.2
87,5.23,3,3,3,3,5.9
35,,,5,3,4,6.6
31,3,3,2,3,3,3.79
49,4.5,5,4,4,4,6.5
40,4,3,6,4,5,5.96
150,8,12,3,4,4,9.5
107,6.3,14,3,,,4.72
115,,20,1,2,2,5.7
40,5.2,6,5,5,6,9.1
87,,4,,6,6,5
50,4.2,4.5,6,4,5,6.5
23,,,5,,,4.05
15,,,2,2,2,2.1
54,,,5,5,5,8.7
90,5,6,,3,2,3.8
75,5,6,3,4,5,3.5
58,,,2,2,2,5.5
56,,5,3,3,4,7.8
35,,6,5,4,3,5.2
53,,,5,8,8,7.5
48,,5,4,4,5,8.5
80,5,5,3,3,3,9.9
22.5,,,2,2,1,2.5
81.5,5.5,5,2,2,2,5.3
151,,10,,2,3,5.17
40,4,,5,4,3,8.45
104,,10,2,2,2,3.2
